'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'7/30/24 0:00','7/29/24 0:00','0344 0346 1822 2024',26,F,B,801,400,IC,3
'8/22/24 0:00','8/21/24 0:00',344,36,M,H,101,400,IC,5
'1/23/20 0:00','1/6/20 0:00',344,36,M,H,108,400,IC,5
'6/1/22 0:00','5/16/22 0:00',344,84,F,W,121,400,IC,10
'8/1/23 0:00','7/5/23 0:00',344,36,M,H,101,400,IC,3
'11/6/22 0:00','11/6/22 0:00','1402 0907 0432 2051 1822 0910 2049 0445',34,M,H,801,219,AA,2
'12/11/23 0:00','12/11/23 0:00','1402 0334 0361 1309 0913',54,F,B,108,207,AA,8
'2/15/22 0:00','2/15/22 0:00',329,36,M,W,301,400,IC,8
'11/19/21 0:00','11/18/21 0:00','1609 0344 1300',39,F,W,503,400,IC,3
'10/27/23 0:00','10/27/23 0:00',344,36,M,H,101,400,IC,5
'11/4/22 0:00','10/28/22 0:00','0344 2032 1822',31,M,H,502,400,IC,3
'2/7/20 0:00','2/7/20 0:00','0945 2004 0416 0417 1822',47,M,A,102,400,IC,2
'1/8/23 0:00','12/23/22 0:00','0329 1300',27,F,W,502,400,AA,8
'12/29/22 0:00','12/14/22 0:00','0344 0394 1822',25,M,B,119,400,IC,4
'7/31/24 0:00','7/31/24 0:00','0325 0344 1822',21,F,H,301,400,IC,4
'5/4/22 0:00','5/4/22 0:00','1309 0430 0432 0906 1822',59,M,B,101,102,IC,2
'10/30/22 0:00','10/30/22 0:00',344,36,M,H,101,400,AO,5
'12/3/22 0:00','12/2/22 0:00','1822 0344',36,M,H,102,400,IC,5
'4/25/20 0:00','4/25/20 0:00','0913 2038 1821',52,F,H,501,400,IC,10
'9/21/23 0:00','9/21/23 0:00','2038 0913',19,F,H,501,400,IC,10
'4/2/21 0:00','4/2/21 0:00',344,36,M,H,101,400,IC,5
'7/25/20 0:00','7/25/20 0:00','1402 0432 0346 0913',60,F,B,101,200,AA,2
'3/27/24 0:00','3/26/24 0:00','0329 1307',62,M,A,101,400,IC,8
'6/15/21 0:00','6/15/21 0:00','1242 0561 0329 0913',47,F,B,502,400,IC,8
'5/19/22 0:00','5/17/22 0:00',344,31,M,W,101,400,IC,3
'7/15/21 0:00','7/14/21 0:00',344,36,M,H,101,400,IC,5
'4/29/24 0:00','4/28/24 0:00',344,36,M,H,101,400,IC,5
'4/26/21 0:00','4/12/21 0:00','0100 1822 0922 0929',35,M,B,501,400,IC,3
'10/7/22 0:00','10/7/22 0:00','0344 1202 0800',65,F,H,502,400,IC,7
'10/6/23 0:00','10/6/23 0:00','1822 1309 0416 0445 0449 2021',51,F,H,403,308,IC,2
'3/24/23 0:00','3/24/23 0:00','1300 0329 1307 1822',51,F,H,122,400,IC,8
'9/21/22 0:00','9/21/22 0:00','2000 1814 0913 2038',51,F,H,501,400,AO,10
'4/18/20 0:00','2/28/20 0:00','0344 1814',28,F,W,501,400,IC,3
'11/6/21 0:00','11/6/21 0:00',344,36,M,H,101,400,IC,5
'4/2/23 0:00','4/1/23 0:00','0913 1202 0342 0344 0448',72,M,B,124,500,IC,2
'5/25/21 0:00','5/25/21 0:00',344,36,M,H,108,400,AA,5
'7/15/23 0:00','7/12/23 0:00','0344 1822',40,M,C,502,400,IC,4
'8/14/23 0:00','8/14/23 0:00','0400 0416 0913 1222 1243 1813 1814 2000 2007',41,M,W,502,400,AO,2
'2/12/23 0:00','2/12/23 0:00','1606 0344 1822',33,M,A,108,400,IC,3
'6/29/22 0:00','6/29/22 0:00','1701 0400',69,M,H,108,400,IC,7
'2/7/24 0:00','2/1/24 0:00','0913 2000 1813',36,M,H,502,400,AO,10
'1/15/21 0:00','1/15/21 0:00','1814 2000 0913 0447 1257 0552',2,F,B,101,306,AA,2
'5/21/21 0:00','5/2/21 0:00','0321 0344 1402 1606',29,M,W,255,400,IC,3
'8/28/20 0:00','8/27/20 0:00','1822 0701 1914 0355 1202 0100',62,F,B,721,400,IC,7
'5/5/22 0:00','5/5/22 0:00',2038,43,F,O,501,400,AO,10
'1/31/20 0:00','1/28/20 0:00','1258 0448',6,M,H,502,400,AO,7
'1/16/22 0:00','1/16/22 0:00',344,36,M,H,101,400,IC,5
'9/12/20 0:00','9/12/20 0:00','1205 2042 1822 0302 0337 0417 0421 0334 0432 0340',27,F,B,502,109,IC,2
'2/17/20 0:00','2/17/20 0:00','2038 0361 0913',25,F,H,501,400,IC,10
'12/3/20 0:00','12/3/20 0:00','0344 0352 1822 0394 1420',44,M,A,119,400,IC,4
'8/18/24 0:00','8/18/24 0:00',1501,36,M,H,809,400,IC,10
'2/20/24 0:00','2/20/24 0:00','0344 0352 1822 1414 1420 0334',36,M,W,405,102,AA,2
'3/25/24 0:00','3/25/24 0:00','1202 2038 2000 0913',70,M,B,501,400,IC,10
'12/31/20 0:00','12/30/20 0:00','0209 0325',36,M,H,203,400,IC,3
'2/19/22 0:00','2/19/22 0:00','0913 0444 0400 1202 0602 0561 2038',62,F,H,501,400,IC,7
'2/23/21 0:00','2/21/21 0:00',344,36,M,H,104,400,IC,4
'7/9/21 0:00','7/7/21 0:00','0344 0377 0390',49,F,H,109,400,IC,3
'8/27/23 0:00','8/26/23 0:00',2002,36,M,H,714,400,IC,10
'3/3/20 0:00','3/2/20 0:00',344,36,M,H,101,400,IC,5
'5/29/20 0:00','5/29/20 0:00','0400 0416 1402 0329 1822',24,M,H,158,312,AO,2
'2/25/24 0:00','2/25/24 0:00',1501,38,F,O,501,400,IC,10
'6/13/23 0:00','2/4/23 0:00',344,36,M,H,122,400,IC,4
'3/6/21 0:00','3/6/21 0:00',344,26,F,H,203,400,IC,4
'8/3/22 0:00','8/1/22 0:00',344,53,M,W,707,400,IC,3
'12/13/23 0:00','12/6/23 0:00','2000 1814 0913 1300 0416',40,M,B,101,400,IC,7
'3/17/23 0:00','3/17/23 0:00','0445 0361 0913 2021 1218 2004 0603',35,M,B,502,302,AA,2
'6/3/20 0:00','6/3/20 0:00','0913 1501 0302 1309 0319',36,M,H,101,102,IC,2
'3/10/20 0:00','3/9/20 0:00',344,36,M,H,101,400,IC,4
'4/20/20 0:00','4/20/20 0:00','0344 1822',42,M,H,501,400,IC,4
'6/15/21 0:00','6/14/21 0:00','0913 0416 1814 2000',25,F,H,501,400,IC,2
'4/6/21 0:00','2/19/21 0:00','1822 0930',35,M,O,501,400,IC,3
'12/9/22 0:00','12/9/22 0:00','0312 1822 0355',46,M,B,101,102,IC,2
