'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'11/16/21 0:00','11/16/21 0:00',344,36,M,H,101,400,IC,5
'5/30/20 0:00','5/29/20 0:00','1609 0344 0329 1607 1822 0325',36,M,H,203,500,IC,3
'10/5/21 0:00','10/5/21 0:00','0416 0432 0562 0913 1242 2004',51,F,H,502,400,IC,7
'9/25/20 0:00','8/24/20 0:00',344,36,M,H,203,400,AO,7
'1/14/22 0:00','12/13/21 0:00','0344 0394',46,M,O,504,400,IC,4
'6/21/20 0:00','6/21/20 0:00',344,36,M,H,101,400,JO,5
'5/8/23 0:00','5/7/23 0:00','2000 0913 0416 0432 1814',49,F,W,102,400,IC,7
'8/15/23 0:00','8/11/23 0:00','1822 0344 0394',24,F,H,502,400,IC,4
'11/14/22 0:00','5/20/22 0:00','1822 0344',23,M,H,701,400,IC,3
'10/25/23 0:00','10/25/23 0:00','0421 1822',23,M,H,502,511,IC,10
'5/9/23 0:00','5/3/23 0:00',344,36,M,H,108,400,IC,5
'10/23/21 0:00','10/22/21 0:00','1813 2038',42,F,W,501,400,AO,7
'12/24/23 0:00','12/24/23 0:00','0329 0344 1813 2000',29,F,H,502,400,AO,8
'7/9/20 0:00','7/8/20 0:00',344,36,M,H,101,400,IC,5
'11/12/23 0:00','11/10/23 0:00','0913 0443 1814',42,F,W,101,511,AO,10
'11/24/21 0:00','11/24/21 0:00','1100 1822 1407',36,M,H,101,106,IC,8
'11/3/20 0:00','11/1/20 0:00','1822 0329',31,M,H,212,500,IC,8
'6/3/22 0:00','6/3/22 0:00','0400 0913 1251 0602 0444 0416 0557 1259',15,M,H,502,400,AO,7
'8/11/20 0:00','8/11/20 0:00',325,34,M,H,404,400,AA,3
'7/14/21 0:00','7/13/21 0:00',329,72,F,H,502,400,IC,8
'10/28/21 0:00','10/19/21 0:00',344,36,M,H,404,400,IC,3
'12/4/23 0:00','11/30/23 0:00',344,36,F,B,101,400,IC,3
'2/21/22 0:00','2/21/22 0:00','0344 1822',34,F,O,203,400,IC,3
'10/4/22 0:00','10/2/22 0:00','0100 0930',39,M,H,605,400,IC,3
'1/8/20 0:00','1/8/20 0:00',325,36,M,W,404,400,AA,4
'7/17/21 0:00','7/16/21 0:00','0329 1300',28,F,W,502,400,IC,8
'7/16/22 0:00','7/16/22 0:00','0602 0913 1202 0446 0416 0417 2038',68,M,H,501,400,IC,7
'2/14/22 0:00','2/13/22 0:00','0416 2000 1813 2002',47,F,H,502,400,AA,7
'7/15/22 0:00','7/15/22 0:00','0400 0416 1258 0913 1815 1251 0446 1420 1414',13,M,H,101,400,IC,7
'11/18/21 0:00','11/18/21 0:00','0913 0334 0443 2004 2000 0400 0416 1814',41,F,H,502,200,AA,2
'2/16/20 0:00','2/15/20 0:00',344,36,M,H,101,400,IC,5
'3/15/24 0:00','3/15/24 0:00',377,54,M,W,501,400,IC,3
'2/4/23 0:00','1/30/23 0:00','1822 0930',44,M,O,502,400,IC,3
'6/14/22 0:00','6/13/22 0:00','0400 1243 2000',29,F,H,502,400,AA,7
'1/20/20 0:00','1/20/20 0:00',344,26,F,H,108,400,IC,3
'6/7/22 0:00','6/4/22 0:00',344,51,M,H,116,400,IC,3
'11/2/20 0:00','10/30/20 0:00','1609 0344 0329 0913',30,F,B,502,500,IC,3
'1/8/22 0:00','1/7/22 0:00',344,36,M,H,101,400,IC,5
'8/1/20 0:00','7/31/20 0:00',344,36,M,H,101,400,IC,5
'9/22/23 0:00','9/22/23 0:00',344,41,F,W,501,400,IC,3
'12/20/21 0:00','12/20/21 0:00','1501 0342 1309 1822',36,M,H,101,400,IC,10
'1/29/22 0:00','1/28/21 0:00','0344 1606 1822',42,F,W,108,400,IC,4
'1/11/22 0:00','1/10/22 0:00',329,36,M,H,704,400,IC,8
'9/2/21 0:00','7/4/21 0:00','1300 1309 0416 2038 0913',53,M,W,101,307,IC,2
'9/14/21 0:00','9/14/21 0:00','1605 1501',47,F,H,501,400,IC,3
'11/11/20 0:00','11/11/20 0:00',1501,50,M,B,501,400,IC,3
'5/18/21 0:00','5/17/21 0:00',1402,36,M,H,602,400,IC,3
'10/28/21 0:00','10/28/21 0:00',329,36,M,W,222,400,IC,8
'4/7/20 0:00','4/6/20 0:00','1300 0344 0321 1822',24,M,W,101,400,IC,3
'2/6/22 0:00','2/2/22 0:00','0922 1822',47,F,H,605,400,IC,3
'9/4/21 0:00','9/4/21 0:00','0913 0602 0416 0448 0561 2024 0446',44,F,B,501,400,JO,7
'10/24/22 0:00','10/23/22 0:00','1822 1606 0344 0385 1300',43,F,H,101,400,IC,3
'3/17/24 0:00','3/17/24 0:00','1822 0344 0342 0355 0400 0416',41,M,O,505,400,IC,2
'7/20/22 0:00','7/20/22 0:00','1822 0344 0342 0419 1309 0448 0336',32,F,B,501,400,IC,2
'6/26/21 0:00','6/26/21 0:00','1822 2002 0400 0416 0446',26,M,O,502,400,IC,7
'4/17/24 0:00','3/8/24 0:00',344,36,M,H,101,400,IC,5
'9/6/23 0:00','5/30/23 0:00','0529 1822',44,F,H,102,400,IC,9
'3/29/23 0:00','2/9/23 0:00',377,66,F,H,501,400,IC,3
'12/26/22 0:00','12/25/22 0:00','1822 0329 0344',39,M,H,101,400,IC,3
'3/15/20 0:00','3/14/20 0:00','1817 2004 2002 0334 0411 1206 0913 0445 0416',22,M,H,101,200,AO,2
'11/9/22 0:00','11/9/22 0:00',344,36,M,H,101,400,AA,5
'12/7/23 0:00','12/7/23 0:00','2000 0416 1814',31,F,H,104,400,AO,7
'1/30/20 0:00','1/30/20 0:00','2000 1814 0448 0419',37,F,B,101,400,IC,7
'11/22/20 0:00','11/22/20 0:00','1202 0344 0385 1822',60,M,H,101,400,IC,3
'3/14/21 0:00','3/14/21 0:00','0913 2000 1814 0400 0448',25,F,H,101,400,AO,7
'5/19/20 0:00','5/19/20 0:00','2000 1814 0444 0305 0429',57,M,W,502,400,IC,7
'6/28/21 0:00','6/28/21 0:00','1309 2038 0913 2000 1814',28,F,H,501,400,AO,10
'4/4/23 0:00','4/4/23 0:00',344,36,M,H,101,400,IC,5
'2/13/22 0:00','2/12/22 0:00','0421 1822',33,M,H,502,511,IC,10
'11/21/22 0:00','11/21/22 0:00','0913 2002 0429 0400 0416',32,F,H,501,400,IC,7
'5/12/20 0:00','5/10/20 0:00','0344 0377 1307',30,F,W,108,400,IC,3
'8/7/20 0:00','8/7/20 0:00','0400 0913 0344 2004 0421',60,M,H,109,400,IC,3
'5/2/22 0:00','5/1/22 0:00',922,42,F,H,501,400,IC,3
'7/10/20 0:00','7/10/20 0:00','0416 2004 1822 0305 1402',39,F,O,102,500,AA,7
'11/7/22 0:00','11/6/22 0:00','0397 1602 0344 1300',52,M,W,101,400,IC,3
'7/8/21 0:00','7/8/21 0:00','0601 0329 1822',36,M,H,502,400,IC,8
'9/2/22 0:00','7/5/22 0:00','0913 0443 1202',36,F,O,502,511,AO,10
'12/6/22 0:00','12/6/22 0:00','0358 1420 1609',35,M,H,210,400,IC,3
'6/18/23 0:00','6/17/23 0:00','0377 1822 0344',24,F,F,735,400,IC,3
'2/25/24 0:00','2/25/24 0:00','1218 0305 0444 0429',40,M,W,102,500,IC,7
'5/14/23 0:00','5/14/23 0:00',329,36,F,H,406,400,IC,8
'2/22/20 0:00','2/22/20 0:00','0334 1822 0342 0202 0216 1309 0432 0302',36,M,H,210,102,IC,2
'4/16/22 0:00','4/16/22 0:00',344,36,M,H,101,400,IC,5
'1/6/23 0:00','1/6/23 0:00','1202 2021 0416 0913 0447',69,M,H,510,500,IC,7
'1/22/21 0:00','1/22/21 0:00','2000 0400 0913 1814 0448 1414',27,F,H,104,400,AO,7
'8/2/23 0:00','8/2/23 0:00','0329 1822',36,M,O,102,311,IC,8
'8/21/22 0:00','8/21/22 0:00','0447 2004 1218 0913 0416',40,F,W,101,500,IC,2
'4/18/20 0:00','4/18/20 0:00','1300 0329',34,M,H,122,400,IC,8
'4/9/21 0:00','4/9/21 0:00',344,59,F,W,102,400,IC,3
'4/29/23 0:00','4/29/23 0:00','0913 1817 0334 0387 0432',46,M,W,108,200,AO,8
'6/1/21 0:00','6/1/21 0:00','0344 2032 1822',63,F,H,121,400,IC,4
'12/28/22 0:00','12/28/22 0:00','0919 1822 1240 1310 1309 0416 0605',41,F,B,101,307,IC,2
'12/23/21 0:00','12/22/21 0:00',344,36,M,H,101,400,IC,4
'8/12/21 0:00','8/11/21 0:00',344,36,M,H,101,400,IC,4
'11/20/23 0:00','11/19/23 0:00','0400 2000 0416 0444 2002 1813',23,F,H,502,400,IC,7
'5/25/24 0:00','5/25/24 0:00','2028 0344 0325',25,M,H,405,400,AO,4
'1/5/20 0:00','1/5/20 0:00',325,36,M,H,242,400,IC,4
'9/8/24 0:00','9/7/24 0:00',344,36,M,H,108,400,IC,5
'10/29/20 0:00','10/29/20 0:00','0325 0601 0104 1822 0346 1300 1309',36,M,H,210,400,IC,10
'5/10/21 0:00','3/23/21 0:00',344,36,M,H,203,400,IC,7
'9/8/22 0:00','9/8/22 0:00','0100 1822 0922',50,M,B,502,400,IC,3
'6/26/23 0:00','6/22/23 0:00','0344 0701',40,F,B,501,400,IC,7
'6/21/22 0:00','6/20/22 0:00','0329 1300',27,F,O,122,400,IC,8
'1/15/24 0:00','10/6/23 0:00','0601 1822',46,F,O,725,400,IC,7
'9/2/22 0:00','7/4/22 0:00','0400 0342 0432 0919 1309 1300 1822 0446 0416 1210',51,M,H,101,400,IC,7
'5/18/22 0:00','5/17/22 0:00','1609 0344',36,M,H,203,400,IC,3
'10/4/20 0:00','10/4/20 0:00','0329 1822',19,M,H,203,400,IC,8
'4/19/23 0:00','4/14/23 0:00',344,36,M,H,725,400,IC,4
'5/29/23 0:00','5/29/23 0:00','1822 0344 1300 1606',38,M,W,101,400,IC,3
'8/23/23 0:00','8/23/23 0:00','0400 1414 0561',52,F,W,501,400,IC,7
'2/16/22 0:00','2/15/22 0:00',344,36,M,H,101,400,IC,5
'1/12/21 0:00','12/1/20 0:00','0100 0923 0928 0929',43,F,H,502,400,IC,3
'8/17/23 0:00','8/17/23 0:00','1822 1258 0448 0429 0305 0416 0444 1251',13,M,H,101,400,IC,7
'1/5/20 0:00','1/2/20 0:00','0344 0603 0361 1822 2032',33,F,W,717,400,IC,4
'12/10/23 0:00','10/11/23 0:00','1822 0329 1609',23,F,H,101,400,IC,8
'9/7/20 0:00','9/7/20 0:00','2024 2000 0913 0342 1309 0329 1310 0340 1312',19,F,B,122,400,IC,8
'3/11/20 0:00','3/11/20 0:00','0421 0913 0561',57,F,H,502,511,AO,10
'7/15/23 0:00','7/15/23 0:00','2000 1814 0913 1501',32,F,H,501,500,IC,7
'6/26/21 0:00','6/25/21 0:00','1402 1202 0344 1822',61,F,W,502,400,IC,3
'5/17/23 0:00','5/15/23 0:00',344,39,M,H,707,400,IC,4
'6/4/24 0:00','5/5/24 0:00','0344 1302 1307',61,F,O,710,400,IC,3
'2/3/23 0:00','2/2/23 0:00','0446 0913 0361 0416',49,F,H,101,400,IC,7
'5/26/21 0:00','4/24/21 0:00','1606 0344',36,F,W,707,400,IC,3
'3/5/20 0:00','3/5/20 0:00','1915 0344 0913',23,M,O,501,400,IC,10
'1/24/22 0:00','1/23/22 0:00','1822 1501',36,M,W,221,400,IC,3
