'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'9/28/23 0:00','9/28/23 0:00','0344 1300 1609',28,M,B,108,400,IC,3
'8/14/23 0:00','8/14/23 0:00','0913 2000 0448 0444 0408',25,F,B,502,400,AA,2
'8/7/23 0:00','8/7/23 0:00',344,69,F,H,504,400,JO,4
'6/8/21 0:00','6/5/21 0:00','0344 1822 0397 1606',39,M,F,108,400,IC,3
'3/9/21 0:00','3/5/21 0:00','1822 0329 0344 0385',37,M,A,101,400,IC,4
'1/5/22 0:00','1/5/22 0:00',344,36,M,H,101,400,IC,5
'4/11/22 0:00','4/8/22 0:00',344,23,M,W,101,400,IC,4
'3/20/20 0:00','1/31/20 0:00',344,59,M,W,207,400,IC,3
'3/16/23 0:00','3/16/23 0:00','1822 0344 1501 0100 1908 0930',22,M,K,501,400,IC,3
'4/4/20 0:00','4/4/20 0:00','0913 0432',45,F,B,502,200,AA,2
'8/17/21 0:00','8/14/21 0:00','0385 0329',31,M,H,101,400,IC,3
'7/24/20 0:00','7/24/20 0:00','1242 0602 0444 0561 2003 1202 0913 0329',64,M,H,501,400,AO,7
'4/3/23 0:00','4/3/23 0:00','1402 1100 0302 0430 0906',33,M,H,101,102,AA,2
'1/23/24 0:00','1/20/24 0:00','1221 1822 1202 0344 0352 0354',83,F,A,502,400,IC,4
'1/17/24 0:00','12/14/23 0:00','1306 1609 1300 1302 0344 1307',26,M,C,123,400,IC,3
'12/18/23 0:00','12/18/23 0:00','0344 1822 0355 0908 2023',18,F,B,503,204,AO,2
'1/3/23 0:00','1/3/23 0:00','0344 2004',36,M,H,203,400,IC,4
'1/3/24 0:00','1/3/24 0:00',344,36,M,H,101,400,IC,5
'8/19/21 0:00','8/19/21 0:00',344,36,M,H,108,400,IC,5
'3/17/23 0:00','3/16/23 0:00',344,36,M,H,101,400,IC,5
'10/13/22 0:00','10/12/22 0:00',344,36,M,H,101,400,IC,5
'2/2/20 0:00','2/1/20 0:00',344,36,M,H,101,400,IC,5
'12/22/20 0:00','12/19/20 0:00',344,36,M,H,108,400,IC,5
'1/17/20 0:00','1/8/20 0:00','2032 0344',63,M,W,406,400,IC,4
'3/21/24 0:00','3/21/24 0:00',1906,33,M,W,116,400,IC,10
'8/3/21 0:00','8/3/21 0:00','1212 0400 2004 1822 0445',46,M,O,101,400,AA,7
'8/4/21 0:00','8/3/21 0:00','1202 0344 1300 0385 1822 1501',65,F,A,101,400,IC,3
'12/21/20 0:00','12/21/20 0:00',945,33,M,H,406,400,IC,2
'5/16/22 0:00','4/30/22 0:00',344,36,M,H,217,400,AA,5
'10/7/21 0:00','10/7/21 0:00','1407 1419 1100 1402 0907 1822 0450 2018 0334 0329',22,M,B,101,102,AO,2
'7/16/22 0:00','7/16/22 0:00','1202 1822 1309 1218 0334 0312 0302 0421 0432',61,M,H,103,109,IC,2
'12/27/20 0:00','12/26/20 0:00',344,59,F,B,101,400,IC,4
'1/31/20 0:00','1/30/20 0:00','0392 2004',36,M,H,101,400,IC,10
'2/20/20 0:00','2/7/20 0:00',344,35,M,W,721,400,IC,4
'6/2/23 0:00','6/1/23 0:00',1822,28,F,H,502,400,IC,3
'3/23/23 0:00','3/22/23 0:00','1202 1822 0400 0416',70,M,O,510,500,IC,7
'1/8/21 0:00','11/14/20 0:00','1307 0344',45,M,H,101,400,IC,3
'6/30/21 0:00','6/16/21 0:00',344,36,M,H,101,400,IC,4
'2/4/24 0:00','1/31/24 0:00','0701 0344',35,F,W,501,400,IC,7
'12/16/21 0:00','9/17/21 0:00','0929 0930',24,M,A,402,400,IC,3
'7/3/23 0:00','7/3/23 0:00',344,36,M,H,108,400,IC,5
'8/3/20 0:00','8/3/20 0:00','0917 0344 0377 1822 2032',46,F,H,210,400,IC,3
'1/20/24 0:00','1/18/24 0:00','0344 0358 1607 1420',41,M,H,210,400,IC,3
'8/1/22 0:00','7/31/22 0:00','1240 1310 0450 1822 1309 0334 0302 0309',20,M,H,101,106,IC,2
'6/30/22 0:00','6/30/22 0:00','0945 1822 0104 0325 2028 0344 0421 0216',36,M,H,404,511,IC,2
'9/30/20 0:00','9/30/20 0:00','0913 0400 0416',34,F,B,108,500,IC,2
'1/31/23 0:00','1/11/23 0:00','2028 0325',36,M,W,404,400,IC,3
'10/28/22 0:00','10/28/22 0:00','1822 0344 1609',28,F,H,108,400,IC,3
'6/10/22 0:00','6/10/22 0:00','0334 0913 1810 0400 0416',64,M,H,501,500,AA,2
'10/13/20 0:00','9/26/20 0:00','0344 0358 1307',46,F,W,101,400,IC,3
'4/8/23 0:00','4/8/23 0:00','2024 0334 0416 1822',16,M,H,109,400,IC,8
'6/24/20 0:00','6/24/20 0:00','1816 1912 0913 0432 1309 0906 0443',30,M,H,501,511,AO,10
'8/13/23 0:00','8/11/23 0:00','1202 0329 0352 0344 1609 0321',70,F,A,501,400,IC,3
'12/20/22 0:00','12/10/22 0:00',344,81,F,W,501,400,IC,3
'11/17/22 0:00','11/16/22 0:00','0377 1822',30,F,O,502,400,IC,3
'2/18/23 0:00','2/18/23 0:00','0325 0202',36,M,H,404,400,IC,4
'5/3/22 0:00','5/2/22 0:00','1822 0344',70,M,O,502,400,IC,4
'8/25/22 0:00','8/7/22 0:00','0352 1221 0394 0344',52,M,H,504,400,IC,4
'2/10/22 0:00','2/9/22 0:00','1609 0344 0377',31,M,A,707,400,IC,3
'1/21/23 0:00','1/21/23 0:00','1822 0329',33,F,B,122,400,IC,8
'2/22/20 0:00','2/22/20 0:00','0400 1813 1814 2000 0202',21,F,W,102,400,AO,7
'3/18/22 0:00','3/17/22 0:00','0375 1822',36,M,W,210,400,IC,3
'12/12/23 0:00','11/28/23 0:00','0100 1822 0924',36,M,H,203,400,IC,7
'7/17/20 0:00','7/17/20 0:00','2004 1218 1814 0444 2000',21,F,H,102,400,AO,7
'5/19/23 0:00','5/19/23 0:00',329,36,M,H,108,400,IC,8
'11/19/23 0:00','11/18/23 0:00',344,36,M,H,108,400,IC,5
'9/2/20 0:00','9/2/20 0:00','1822 0344 2034 1300 0330',26,F,B,502,400,IC,3
'10/31/21 0:00','10/30/21 0:00','0358 0385',46,F,W,101,400,IC,3
'11/8/21 0:00','11/5/21 0:00',344,36,M,H,101,400,IC,5
'6/7/23 0:00','6/6/23 0:00',344,36,M,H,101,400,IC,4
'4/1/23 0:00','4/1/23 0:00',1906,35,F,W,502,400,IC,10
'10/9/23 0:00','10/8/23 0:00','2000 0416 0444',52,F,W,502,400,IC,7
'9/23/22 0:00','9/23/22 0:00','0325 0446 0945',36,M,W,402,400,IC,2
'9/10/23 0:00','9/10/23 0:00','0913 0554 0432 2038',58,F,H,502,511,AO,10
'4/18/21 0:00','4/17/21 0:00',344,36,M,H,101,400,IC,5
'11/16/22 0:00','11/16/22 0:00','1300 2038',33,F,H,101,400,IC,10
'6/12/23 0:00','6/11/23 0:00','0906 1822 0334 0432 1402 2024',28,M,H,101,204,IC,2
'9/17/23 0:00','9/17/23 0:00','0344 0400 1202 0390 1309 1822',92,F,W,708,400,IC,2
'5/3/20 0:00','5/2/20 0:00','1609 1822',45,M,H,210,400,IC,3
'12/28/20 0:00','12/28/20 0:00','1822 1218 0416',26,M,H,102,500,IC,2
'12/9/21 0:00','12/9/21 0:00','1822 1912 0337',18,M,O,501,400,IC,10
'9/28/21 0:00','9/28/21 0:00','1609 0325 0329',20,M,O,203,400,IC,3
'10/12/23 0:00','10/10/23 0:00',344,36,M,H,101,400,IC,4
'2/7/21 0:00','9/26/20 0:00','0344 0346',36,M,W,502,400,IC,4
'6/20/20 0:00','6/20/20 0:00','0400 0913 0416 0361',39,F,H,104,400,AO,7
'6/5/21 0:00','6/5/21 0:00','0913 2000 0416 1814',29,M,H,108,400,IC,7
'4/3/20 0:00','4/3/20 0:00','1402 0329',35,M,H,401,400,AO,8
'7/19/23 0:00','7/19/23 0:00',377,37,M,W,501,400,IC,3
'12/2/22 0:00','12/2/22 0:00','1822 0922',28,M,B,501,400,IC,3
'4/4/24 0:00','4/4/24 0:00','0342 0360 0416 0400 0417 0344 1202 0913',61,F,H,501,400,AA,2
'2/3/22 0:00','2/1/21 0:00','0930 0922 0917',39,M,W,501,400,IC,3
'12/16/21 0:00','12/16/21 0:00','0325 1402 0352 0344 1822',36,M,H,203,400,AA,4
'7/21/23 0:00','7/20/23 0:00','2000 1814 0400',40,F,W,502,400,AO,7
'3/11/22 0:00','3/10/22 0:00','1609 0344',39,M,O,108,400,IC,3
'1/27/20 0:00','1/27/20 0:00','0416 0446 1402 0325 0945',36,M,H,403,400,IC,2
'4/12/23 0:00','3/30/23 0:00','1822 0344 0325',24,M,H,203,400,IC,4
'2/21/23 0:00','2/20/23 0:00','0344 1822 1402',75,F,W,402,400,IC,3
'7/20/22 0:00','7/13/22 0:00','1822 0344 1300',58,F,O,203,400,IC,3
